Sem,Class Code,Learning Module,Instructor,Venue,Time,day
2,COMP221-221,OBJECT ORIENTED TECHNOLOGIES,WONG UN HONG,N_54,11:30-13:00,2023/03/23
2,COMP223-221,SOFTWARE ENGINEERING,AMANG KIM SONGKYOO,N_56,10:00-11:30,2023/03/24
2,COMP222-221,INTERNET PROGRAMMING I,CALANA CHAN MEI POU,N_54,11:30-13:00,2023/03/24
2,MENG221-221,ENGLISH IV,CHUI SAI CHAK,N_52,14:30-17:30,2023/03/24
2,COMP222-221,INTERNET PROGRAMMING I,CALANA CHAN MEI POU,N_54,10:00-11:30,2023/03/27
2,COMP223-221,SOFTWARE ENGINEERING,AMANG KIM SONGKYOO,N_56,11:30-13:00,2023/03/27
2,COMP225-221,NETWORK AND SYSTEM ADMINISTRATION,LIAM LEI KIN,N_54,14:30-17:30,2023/03/27
2,COMP221-221,OBJECT ORIENTED TECHNOLOGIES,WONG UN HONG,N_54,10:00-11:30,2023/03/28
2,COMP224-221,DATABASE MANAGEMENT SYSTEMS,YANG XU,A214,11:30-13:00,2023/03/28
2,COMP224-221,DATABASE MANAGEMENT SYSTEMS,YANG XU,A211,10:00-11:30,2023/03/30
2,COMP221-221,OBJECT ORIENTED TECHNOLOGIES,WONG UN HONG,N_54,11:30-13:00,2023/03/30
2,COMP223-221,SOFTWARE ENGINEERING,AMANG KIM SONGKYOO,N_56,10:00-11:30,2023/03/31
2,COMP222-221,INTERNET PROGRAMMING I,CALANA CHAN MEI POU,N_54,11:30-13:00,2023/03/31
2,MENG221-221,ENGLISH IV,CHUI SAI CHAK,N_52,14:30-17:30,2023/03/31
2,COMP222-221,INTERNET PROGRAMMING I,CALANA CHAN MEI POU,N_54,10:00-11:30,2023/04/03
2,COMP223-221,SOFTWARE ENGINEERING,AMANG KIM SONGKYOO,N_56,11:30-13:00,2023/04/03
2,COMP225-221,NETWORK AND SYSTEM ADMINISTRATION,LIAM LEI KIN,N_54,14:30-17:30,2023/04/03
2,COMP221-221,OBJECT ORIENTED TECHNOLOGIES,WONG UN HONG,N_54,10:00-11:30,2023/04/04
2,COMP224-221,DATABASE MANAGEMENT SYSTEMS,YANG XU,A214,11:30-13:00,2023/04/04
2,COMP224-221,DATABASE MANAGEMENT SYSTEMS,YANG XU,A211,10:00-11:30,2023/04/06
2,COMP221-221,OBJECT ORIENTED TECHNOLOGIES,WONG UN HONG,N_54,11:30-13:00,2023/04/06
2,COMP223-221,SOFTWARE ENGINEERING,AMANG KIM SONGKYOO,N_56,10:00-11:30,2023/04/07
2,COMP222-221,INTERNET PROGRAMMING I,CALANA CHAN MEI POU,N_54,11:30-13:00,2023/04/07
2,MENG221-221,ENGLISH IV,CHUI SAI CHAK,N_52,14:30-17:30,2023/04/07
2,COMP222-221,INTERNET PROGRAMMING I,CALANA CHAN MEI POU,N_54,10:00-11:30,2023/04/10
2,COMP223-221,SOFTWARE ENGINEERING,AMANG KIM SONGKYOO,N_56,11:30-13:00,2023/04/10
2,COMP225-221,NETWORK AND SYSTEM ADMINISTRATION,LIAM LEI KIN,N_54,14:30-17:30,2023/04/10
2,COMP221-221,OBJECT ORIENTED TECHNOLOGIES,WONG UN HONG,N_54,10:00-11:30,2023/04/11
2,COMP224-221,DATABASE MANAGEMENT SYSTEMS,YANG XU,A214,11:30-13:00,2023/04/11
2,COMP224-221,DATABASE MANAGEMENT SYSTEMS,YANG XU,A211,10:00-11:30,2023/04/13
2,COMP221-221,OBJECT ORIENTED TECHNOLOGIES,WONG UN HONG,N_54,11:30-13:00,2023/04/13
2,COMP223-221,SOFTWARE ENGINEERING,AMANG KIM SONGKYOO,N_56,10:00-11:30,2023/04/14
2,COMP222-221,INTERNET PROGRAMMING I,CALANA CHAN MEI POU,N_54,11:30-13:00,2023/04/14
2,MENG221-221,ENGLISH IV,CHUI SAI CHAK,N_52,14:30-17:30,2023/04/14
2,COMP222-221,INTERNET PROGRAMMING I,CALANA CHAN MEI POU,N_54,10:00-11:30,2023/04/17
2,COMP223-221,SOFTWARE ENGINEERING,AMANG KIM SONGKYOO,N_56,11:30-13:00,2023/04/17
2,COMP225-221,NETWORK AND SYSTEM ADMINISTRATION,LIAM LEI KIN,N_54,14:30-17:30,2023/04/17
2,COMP221-221,OBJECT ORIENTED TECHNOLOGIES,WONG UN HONG,N_54,10:00-11:30,2023/04/18
2,COMP224-221,DATABASE MANAGEMENT SYSTEMS,YANG XU,A214,11:30-13:00,2023/04/18
2,COMP224-221,DATABASE MANAGEMENT SYSTEMS,YANG XU,A211,10:00-11:30,2023/04/20
2,COMP221-221,OBJECT ORIENTED TECHNOLOGIES,WONG UN HONG,N_54,11:30-13:00,2023/04/20
2,COMP223-221,SOFTWARE ENGINEERING,AMANG KIM SONGKYOO,N_56,10:00-11:30,2023/04/21
2,COMP222-221,INTERNET PROGRAMMING I,CALANA CHAN MEI POU,N_54,11:30-13:00,2023/04/21
2,MENG221-221,ENGLISH IV,CHUI SAI CHAK,N_52,14:30-17:30,2023/04/21
